10327	1.872693284855694E-6
20372	5.205662458059915E-7
30628	3.0639221720084684E-7
40644	2.809275717642252E-7
50461	2.9965664908717916E-7
60840	2.1890460137472094E-7
70590	3.0512097196570417E-7
80117	2.1890460137472094E-7
90496	8.666928692156361E-4
100500	2.5703493784894796E-7
110566	2.030145901971792E-6
120944	4.770346016734645E-7
130998	2.3431873808706977E-7
140573	6.337488560552544E-7
150952	2.1890460137472094E-7
161331	2.1890460137472094E-7
171153	5.623704085450995E-7
181513	3.569473903167377E-7
191624	5.277485831072215E-6
202003	4.322477108226729E-6
212382	2.6125707299329496E-7
222761	0.0012329533839333042
232592	1.0985027970686192E-4
242877	5.31535518969499E-7
252937	2.1890460137472094E-7
263148	2.9955453751548996E-7
273209	2.1890460137472094E-7
283472	2.954527679052139E-7
293254	2.6125707299329496E-7
303042	5.155265990038319E-6
313369	8.345344057036385E-7
323521	2.1890460137472094E-7
333882	5.170743276558263E-7
343662	2.491321911147117E-7
353644	2.2741914490667923E-7
363928	3.5410114186325944E-7
374235	3.7440019996676528E-6
384553	4.1426816532610237E-7
394928	6.80562068238512E-7
404711	2.456447992506167E-7
414616	3.1190862235959245E-7
424746	1.8922603189596813E-6
434706	2.7991086808539775E-6
444488	1.0590441144378645E-6
454284	4.975160505869306E-7
464397	1.1254311646679111E-5
474195	9.493272327812962E-7
484049	5.939419232152597E-7
493967	2.1890460137472094E-7
503751	6.79833938743065E-6
514130	6.165920453252955E-7
524509	0.001010197899106842
534708	2.5514239206919538E-5
545087	0.002527987757067261
555466	0.0011777041099487716
565845	1.6133502207463522E-6
576224	1.1145133213936446E-6
586603	9.64859150022634E-7
596584	3.996953084956637E-6
606366	4.289865845413511E-7
616147	6.944524652481254E-7
626447	1.7110882017685296E-5
636239	9.414139236917036E-7
646021	3.1193905695897734E-7
655803	2.1890460137472094E-7
665665	1.1284978455475445E-6
675447	1.102540420890586E-6
685229	3.5781564557391214E-7
